DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes
dec::v17::iso20022_creditor_account::plaid_account_type::discovery,ISO20022.cdtr_acct,Plaid.account_type,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type,REJECT_BY_NORMAL_FORM,creditor_account|account_type,payment_account:creditor_account,payment_account:account_type,creditor_account,account_classification,0.28201050376362047,0.6152681059912967,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type
dec::v17::iso20022_creditor_account::upi_payer_account::discovery,ISO20022.cdtr_acct,UPI.payer_account,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,creditor_account|payer_account,payment_account:creditor_account,payment_account:payer_account,creditor_account,payer_account,0.30176154192906696,0.6716996436068581,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:payer_account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto
dec::v17::mastercard_primary_account_number::plaid_account_number::discovery,Mastercard.primary_account_number,Plaid.account_number,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,card_primary_account_number|bank_account_number,payment_card:pan,payment_account:account_number,card_account_identifier,bank_account_identifier,0.38557022317550216,0.5778196852633395,0.6666666666666666,2,PASS,DEFER,PASS,FAIL,FAIL,PASS,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto
dec::v17::mastercard_primary_account_number::ppvisa_primary_account_number::discovery,Mastercard.primary_account_number,PPVisa.pan,discovery,HUMAN_REVIEW,cross-rail compatibility uncertain,QUEUE_HUMAN_REVIEW,card_primary_account_number,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,0.9581307229002273,0.8803734940006491,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,
dec::v17::mastercard_transaction_amount::plaid_transaction_identifier::discovery,Mastercard.transaction_amount,Plaid.transaction_id,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,payment_amount|transaction_identifier,payment:amount,identifier:transaction,transaction_amount,transaction_identifier,0.26252663361575623,0.5595999055688273,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,identifier must not merge with payment/temporal
dec::v17::mastercard_transaction_amount::plaid_transaction_amount::discovery,Mastercard.transaction_amount,Plaid.transaction_amount,discovery,HUMAN_REVIEW,cross-rail compatibility uncertain,QUEUE_HUMAN_REVIEW,payment_amount,payment:amount,payment:amount,transaction_amount,transaction_amount,0.9527492476906001,0.8649978505445716,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,
dec::v17::mastercard_transaction_amount::plaid_transaction_date::discovery,Mastercard.transaction_amount,Plaid.transaction_date,discovery,REJECT_UNSAFE,schema-declared do_not_merge_with_families veto,REJECT_BY_NORMAL_FORM,payment_amount|transaction_date,payment:amount,temporal:transaction_date,transaction_amount,posted_transaction_date,0.2527383477158662,0.5316333744262843,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,schema-declared do_not_merge_with_families veto
dec::v17::mastercard_transaction_amount::razorpay_amount::discovery,Mastercard.transaction_amount,Razorpay.amount,discovery,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,QUEUE_HUMAN_REVIEW,payment_amount,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,0.7622240161773646,0.6063543319353274,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,
dec::v17::mastercard_transaction_amount::stripe_amount::discovery,Mastercard.transaction_amount,Stripe.amount,discovery,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,QUEUE_HUMAN_REVIEW,payment_amount,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,0.7585153865487431,0.595758247282123,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,
dec::v17::mastercard_transaction_amount::upi_transaction_identifier::discovery,Mastercard.transaction_amount,UPI.txn_id,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,payment_amount|transaction_identifier,payment:amount,identifier:upi_transaction,transaction_amount,upi_transaction_identifier,0.22544073867861053,0.453640205748411,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,identifier must not merge with payment/temporal
