DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes,PromotionRule,AuditFlags,CMNFMatrixApplied
dec::v18::razorpay_virtual_payment_address::upi_virtual_payment_address::production,Razorpay.vpa,UPI.vpa,production,ACCEPT_MERGE,"same_canon_same_family:score=0.9139,tau=0.72",MERGE_BY_CANONICAL_FAMILY,virtual_payment_address,upi:vpa,upi:vpa,payer_or_customer_vpa,generic_vpa,0.9138618257105892,0.7538909306016831,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,virtual_payment_address
dec::v18::razorpay_status::stripe_status::production,Razorpay.status,Stripe.status,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.8449,min_ev=0.8",MERGE_BY_CMNF_MATRIX,payment_status,payment:status,payment:status,payment_lifecycle_status,payment_intent_lifecycle_status,0.84485111584234,0.6995746166923997,1.0,3,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_status
dec::v18::razorpay_status::upi_transaction_status::production,Razorpay.status,UPI.txn_status,production,ACCEPT_MERGE,"same_canon_same_family:score=0.7586,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_status,payment:status,payment:status,payment_lifecycle_status,transaction_status,0.7586000121438681,0.5960000346967658,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_status
dec::v18::stripe_status::upi_transaction_status::production,Stripe.status,UPI.txn_status,production,ACCEPT_MERGE,"same_canon_same_family:score=0.7876,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_status,payment:status,payment:status,payment_intent_lifecycle_status,transaction_status,0.7875952247731279,0.678843499351794,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_status
dec::v18::razorpay_created_at::stripe_created::production,Razorpay.created_at,Stripe.created,production,ACCEPT_MERGE,"same_canon_same_family:score=0.7859,tau=0.72",MERGE_BY_CANONICAL_FAMILY,created_at,temporal:created_at,temporal:created_at,payment_created_timestamp,payment_intent_created_timestamp,0.7859401537144163,0.6741147248983322,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,created_at
dec::v18::inamex_primary_account_number::plaid_account_number::production,INAmex.PrimaryAccountNumber,Plaid.account_number,production,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,card_primary_account_number|bank_account_number,payment_card:pan,payment_account:account_number,card_account_identifier,bank_account_identifier,0.3718692311840456,0.5386739938591779,0.6666666666666666,2,PASS,DEFER,PASS,FAIL,FAIL,PASS,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::inamex_expiration_date::plaid_transaction_date::production,INAmex.ExpirationDate,Plaid.transaction_date,production,DEFER,insufficient evidence,DEFER_CANDIDATE,card_expiration_date|transaction_date,payment_card:expiration_date,temporal:transaction_date,card_validity,posted_transaction_date,0.19880181454674534,0.377528993943082,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,,,,
dec::v18::iso20022_msg_identifier::upi_transaction_identifier::production,ISO20022.msg_id,UPI.txn_id,production,REJECT_UNSAFE,identifier subtypes must remain separate: identifier:message vs identifier:upi_transaction,REJECT_BY_NORMAL_FORM,message_identifier|transaction_identifier,identifier:message,identifier:upi_transaction,group_header_message_id,upi_transaction_identifier,0.21907032273526977,0.43543901733886603,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:message vs identifier:upi_transaction,,,
dec::v18::iso20022_msg_identifier::plaid_transaction_identifier::production,ISO20022.msg_id,Plaid.transaction_id,production,REJECT_UNSAFE,identifier subtypes must remain separate: identifier:message vs identifier:transaction,REJECT_BY_NORMAL_FORM,message_identifier|transaction_identifier,identifier:message,identifier:transaction,group_header_message_id,transaction_identifier,0.20145592374662652,0.38511216308559965,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:message vs identifier:transaction,,,
dec::v18::iso20022_debtor_name::iso20022_creditor_name::production,ISO20022.dbtr_nm,ISO20022.cdtr_nm,production,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,debtor_name|creditor_name,party:debtor_name,party:creditor_name,debtor,creditor,0.37903949799124886,0.8924938037845206,0.3333333333333333,1,FAIL,DEFER,FAIL,PASS,PASS,PASS,role conflict: debtor vs creditor; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::iso20022_debtor_name::iso20022_debtor_account::production,ISO20022.dbtr_nm,ISO20022.dbtr_acct,production,DEFER,insufficient evidence,DEFER_CANDIDATE,debtor_name|debtor_account,party:debtor_name,payment_account:debtor_account,debtor,debtor_account,0.34703941605414756,0.8010649982499456,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,FAIL,PASS,,,,
dec::v18::iso20022_creditor_name::iso20022_creditor_account::production,ISO20022.cdtr_nm,ISO20022.cdtr_acct,production,DEFER,insufficient evidence,DEFER_CANDIDATE,creditor_name|creditor_account,party:creditor_name,payment_account:creditor_account,creditor,creditor_account,0.3464794349564954,0.7994650522566537,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,FAIL,PASS,,,,
dec::v18::iso20022_debtor_account::iso20022_creditor_account::production,ISO20022.dbtr_acct,ISO20022.cdtr_acct,production,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,debtor_account|creditor_account,payment_account:debtor_account,payment_account:creditor_account,debtor_account,creditor_account,0.38518844987236117,0.9100622377305558,0.3333333333333333,1,FAIL,DEFER,FAIL,PASS,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:creditor_account; role conflict: debtor vs creditor; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::iso20022_debtor_account::upi_payer_account::production,ISO20022.dbtr_acct,UPI.payer_account,production,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,debtor_account|payer_account,payment_account:debtor_account,payment_account:payer_account,debtor_account,payer_account,0.252791439306751,0.5317850646859553,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:payer_account; explicit negative pair hard veto,,,
dec::v18::iso20022_debtor_account::plaid_account_number::production,ISO20022.dbtr_acct,Plaid.account_number,production,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number,REJECT_BY_NORMAL_FORM,debtor_account|bank_account_number,payment_account:debtor_account,payment_account:account_number,debtor_account,bank_account_identifier,0.2472463081560532,0.5159418328268187,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number,,,
dec::v18::iso20022_debtor_account::plaid_account_type::production,ISO20022.dbtr_acct,Plaid.account_type,production,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_type,REJECT_BY_NORMAL_FORM,debtor_account|account_type,payment_account:debtor_account,payment_account:account_type,debtor_account,account_classification,0.24541780447746342,0.5107175366022765,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_type,,,
dec::v18::iso20022_creditor_account::upi_payer_account::production,ISO20022.cdtr_acct,UPI.payer_account,production,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,creditor_account|payer_account,payment_account:creditor_account,payment_account:payer_account,creditor_account,payer_account,0.23676294771222756,0.4859893744158883,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:payer_account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::iso20022_creditor_account::plaid_account_type::production,ISO20022.cdtr_acct,Plaid.account_type,production,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type,REJECT_BY_NORMAL_FORM,creditor_account|account_type,payment_account:creditor_account,payment_account:account_type,creditor_account,account_classification,0.233566100431635,0.4768555250427667,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_type,,,
dec::v18::iso20022_creditor_account::plaid_account_number::production,ISO20022.cdtr_acct,Plaid.account_number,production,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number,REJECT_BY_NORMAL_FORM,creditor_account|bank_account_number,payment_account:creditor_account,payment_account:account_number,creditor_account,bank_account_identifier,0.2268920763706262,0.45778688486845587,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number,,,
dec::v18::mastercard_primary_account_number::plaid_account_number::production,Mastercard.primary_account_number,Plaid.account_number,production,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,card_primary_account_number|bank_account_number,payment_card:pan,payment_account:account_number,card_account_identifier,bank_account_identifier,0.3724502038995286,0.5403339159034151,0.6666666666666666,2,PASS,DEFER,PASS,FAIL,FAIL,PASS,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::plaid_account_identifier::plaid_account_number::production,Plaid.account_id,Plaid.account_number,production,DEFER,insufficient evidence,DEFER_CANDIDATE,account_identifier|bank_account_number,identifier:plaid_account,payment_account:account_number,plaid_account_identifier,bank_account_identifier,0.3335852780938996,0.7626246040778085,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,FAIL,PASS,,,,
dec::v18::plaid_account_identifier::plaid_account_type::production,Plaid.account_id,Plaid.account_type,production,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,account_identifier|account_type,identifier:plaid_account,payment_account:account_type,plaid_account_identifier,account_classification,0.3067445316908061,0.6859367572118271,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,FAIL,PASS,explicit negative pair hard veto,,,
dec::v18::plaid_account_identifier::plaid_transaction_identifier::production,Plaid.account_id,Plaid.transaction_id,production,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,account_identifier|transaction_identifier,identifier:plaid_account,identifier:transaction,plaid_account_identifier,transaction_identifier,0.29663995888108063,0.65706654918404,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,PASS,PASS,identifier subtypes must remain separate: identifier:plaid_account vs identifier:transaction; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::plaid_account_identifier::stripe_customer_identifier::production,Plaid.account_id,Stripe.customer_id,production,REJECT_UNSAFE,identifier subtypes must remain separate: identifier:plaid_account vs identifier:customer,REJECT_BY_NORMAL_FORM,account_identifier|customer_identifier,identifier:plaid_account,identifier:customer,plaid_account_identifier,customer_object_identifier,0.2510956080799044,0.5269398326092506,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:plaid_account vs identifier:customer,,,
