DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes,PromotionRule,AuditFlags,CMNFMatrixApplied
dec::v18::razorpay_virtual_payment_address::upi_virtual_payment_address::discovery,Razorpay.vpa,UPI.vpa,discovery,ACCEPT_MERGE,"same_canon_same_family:score=0.9395,tau=0.72",MERGE_BY_CANONICAL_FAMILY,virtual_payment_address,upi:vpa,upi:vpa,payer_or_customer_vpa,generic_vpa,0.9394508150764378,0.8270023287898223,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,virtual_payment_address
dec::v18::razorpay_status::stripe_status::discovery,Razorpay.status,Stripe.status,discovery,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.8805,min_ev=0.8",MERGE_BY_CMNF_MATRIX,payment_status,payment:status,payment:status,payment_lifecycle_status,payment_intent_lifecycle_status,0.880523890744095,0.6586396878402713,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_status
dec::v18::razorpay_status::upi_transaction_status::discovery,Razorpay.status,UPI.txn_status,discovery,ACCEPT_MERGE,"same_canon_same_family:score=0.7461,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_status,payment:status,payment:status,payment_lifecycle_status,transaction_status,0.7460994853352971,0.5602842438151345,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_status
dec::v18::stripe_status::upi_transaction_status::discovery,Stripe.status,UPI.txn_status,discovery,ACCEPT_MERGE,"same_canon_same_family:score=0.7715,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_status,payment:status,payment:status,payment_intent_lifecycle_status,transaction_status,0.7714709985748814,0.6327742816425184,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_status
dec::v18::razorpay_created_at::stripe_created::discovery,Razorpay.created_at,Stripe.created,discovery,ACCEPT_MERGE,"same_canon_same_family:score=0.7690,tau=0.72",MERGE_BY_CANONICAL_FAMILY,created_at,temporal:created_at,temporal:created_at,payment_created_timestamp,payment_intent_created_timestamp,0.7690397020796296,0.625827720227513,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,created_at
dec::v18::inamex_expiration_date::plaid_transaction_date::discovery,INAmex.ExpirationDate,Plaid.transaction_date,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,card_expiration_date|transaction_date,payment_card:expiration_date,temporal:transaction_date,card_validity,posted_transaction_date,0.21581605031128626,0.42614109612748463,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,,,,
dec::v18::iso20022_msg_identifier::upi_transaction_identifier::discovery,ISO20022.msg_id,UPI.txn_id,discovery,REJECT_UNSAFE,identifier subtypes must remain separate: identifier:message vs identifier:upi_transaction,REJECT_BY_NORMAL_FORM,message_identifier|payment_identifier,identifier:message,identifier:upi_transaction,group_header_message_id,upi_transaction_identifier,0.22098883319137103,0.4409204757848697,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:message vs identifier:upi_transaction,,,
dec::v18::iso20022_msg_identifier::plaid_transaction_identifier::discovery,ISO20022.msg_id,Plaid.transaction_id,discovery,REJECT_UNSAFE,identifier subtypes must remain separate: identifier:message vs identifier:transaction,REJECT_BY_NORMAL_FORM,message_identifier|payment_identifier,identifier:message,identifier:transaction,group_header_message_id,transaction_identifier,0.20275700010187986,0.3888295241006091,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:message vs identifier:transaction,,,
dec::v18::iso20022_msg_identifier::plaid_account_identifier::discovery,ISO20022.msg_id,Plaid.account_id,discovery,REJECT_UNSAFE,identifier subtypes must remain separate: identifier:message vs identifier:plaid_account,REJECT_BY_NORMAL_FORM,message_identifier|account_identifier,identifier:message,identifier:plaid_account,group_header_message_id,plaid_account_identifier,0.17050365667228867,0.29667711430177723,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:message vs identifier:plaid_account,,,
dec::v18::iso20022_debtor_name::iso20022_creditor_name::discovery,ISO20022.dbtr_nm,ISO20022.cdtr_nm,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,debtor_name|creditor_name,party:debtor_name,party:creditor_name,debtor,creditor,0.3634673343240294,0.8480019075924651,0.3333333333333333,1,FAIL,DEFER,FAIL,PASS,PASS,PASS,role conflict: debtor vs creditor; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::iso20022_debtor_name::iso20022_debtor_account::discovery,ISO20022.dbtr_nm,ISO20022.dbtr_acct,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,debtor_name|debtor_account,party:debtor_name,payment_account:debtor_account,debtor,debtor_account,0.3426514029691898,0.7885278180072091,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,FAIL,PASS,,,,
dec::v18::iso20022_creditor_name::iso20022_creditor_account::discovery,ISO20022.cdtr_nm,ISO20022.cdtr_acct,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,creditor_name|creditor_account,party:creditor_name,payment_account:creditor_account,creditor,creditor_account,0.3486225325014016,0.8055881880992428,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,FAIL,PASS,,,,
dec::v18::iso20022_debtor_account::iso20022_creditor_account::discovery,ISO20022.dbtr_acct,ISO20022.cdtr_acct,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,debtor_account|creditor_account,payment_account:debtor_account,payment_account:creditor_account,debtor_account,creditor_account,0.37625210780143326,0.884529831813619,0.3333333333333333,1,FAIL,DEFER,FAIL,PASS,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:creditor_account; role conflict: debtor vs creditor; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::iso20022_debtor_account::upi_payer_account::discovery,ISO20022.dbtr_acct,UPI.payer_account,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,debtor_account|payer_account,payment_account:debtor_account,payment_account:payer_account,debtor_account,payer_account,0.27657675254134745,0.5997431024990879,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:payer_account; explicit negative pair hard veto,,,
dec::v18::iso20022_debtor_account::plaid_account_number::discovery,ISO20022.dbtr_acct,Plaid.account_number,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number,REJECT_BY_NORMAL_FORM,debtor_account|bank_account_number,payment_account:debtor_account,payment_account:account_number,debtor_account,bank_account_identifier,0.25017825569752594,0.524318825802455,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number,,,
dec::v18::iso20022_debtor_account::plaid_account_type::discovery,ISO20022.dbtr_acct,Plaid.account_type,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_type,REJECT_BY_NORMAL_FORM,debtor_account|account_type,payment_account:debtor_account,payment_account:account_type,debtor_account,account_classification,0.24755234966896067,0.5168162371494115,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_type,,,
dec::v18::iso20022_creditor_account::upi_payer_account::discovery,ISO20022.cdtr_acct,UPI.payer_account,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,creditor_account|payer_account,payment_account:creditor_account,payment_account:payer_account,creditor_account,payer_account,0.2834777606522337,0.6194602685301914,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:payer_account; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto,,,
dec::v18::iso20022_creditor_account::plaid_account_number::discovery,ISO20022.cdtr_acct,Plaid.account_number,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number,REJECT_BY_NORMAL_FORM,creditor_account|bank_account_number,payment_account:creditor_account,payment_account:account_number,creditor_account,bank_account_identifier,0.22901471502097004,0.46385156672658107,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number,,,
