mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,bridge_rule_applied,bridge_rule_name,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,is_in_true_pairs,is_in_negative_pairs,error_class,semantic_family,suggested_negative_pair
no_ecnf,tags,cvv,cvv,tags,cvv <-> tags,INAmex.json,PPVisa.json,Payments Risk,Payments Risk,0.6591549515724182,0.0,,payment:cvv,False,0.09090909090909091,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.95438551902771,0.0,0.4545390844345093,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000541,True,False,False,FP,metadata,cvv; tags
no_ecnf,tags,cardholder,cardholder,tags,cardholder <-> tags,INAmex.json,PPVisa.json,Payments Risk,Payments Risk,0.7369024753570557,0.0,,party:name,False,0.09090909090909091,mixed,mixed,True,False,0.9870609641075134,0.0,0.592173182964325,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000542,True,False,False,FP,party_name,cardholder; tags
no_ecnf,tags,issuer,issuer,tags,issuer <-> tags,INAmex.json,PPVisa.json,Payments Risk,Payments Risk,0.7147087454795837,0.0,,,False,1.0,mixed,mixed,True,False,0.9889467358589172,0.0,0.583672845363617,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000543,True,False,False,FP,metadata,issuer; tags
no_ecnf,tags,amount,amount,tags,amount <-> tags,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.7555462121963501,0.0,,payment:amount,False,0.0625,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.962663471698761,0.0,0.49475117921829226,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000546,True,False,False,FP,amount,amount; tags
no_ecnf,tags,method,method,tags,method <-> tags,INAmex.json,Razorpay.json,Payments Risk,Payments Risk,0.7168221473693848,0.0,,,False,0.16666666666666666,mixed,mixed,True,False,0.8720186352729797,0.0,0.5611325860023498,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000547,True,False,False,FP,method,method; tags
no_ecnf,tags,email,email,tags,email <-> tags,INAmex.json,Razorpay.json,Payments Risk,Payments Risk,0.6908151507377625,0.0,,,False,1.0,mixed,mixed,True,False,0.9999858140945435,0.0,0.5763232231140136,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000549,True,False,False,FP,metadata,email; tags
no_ecnf,tags,contact,contact,tags,contact <-> tags,INAmex.json,Razorpay.json,Payments Risk,Payments Risk,0.7413296103477478,0.0,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9975217580795288,0.0,0.4960361957550049,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000550,True,False,False,FP,metadata,contact; tags
no_ecnf,tags,status,status,tags,status <-> tags,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.707806408405304,0.0,,payment:status,False,1.0,mixed,mixed,True,False,0.9992767572402954,0.0,0.5829779148101807,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000551,True,False,False,FP,status,status; tags
no_ecnf,tags,customer_id,customer identifier,tags,customer identifier <-> tags,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.6743879318237305,0.0,,,False,1.0,mixed,mixed,True,False,0.9996606707572937,0.0,0.5696873068809509,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000553,True,False,False,FP,identifier,customer identifier; tags
no_ecnf,tags,payment_method,payment method,tags,payment method <-> tags,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.6911031603813171,0.0,,,False,1.0,mixed,mixed,True,False,0.9889467358589172,0.0,0.5742306113243103,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,False,,standard_pairwise,MERGE,AANF+CMNF only; ECNF ablated,no_ecnf-000554,True,False,False,FP,method,payment method; tags
