mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,CMNF_basis,bridge_rule_applied,bridge_rule_name,bridge_blocked_reason,bridge_safety_status,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,would_have_accepted_without_veto,veto_reason,is_in_true_pairs,is_in_negative_pairs,error_class,semantic_family
embed_only_baseline,//source,currency,currency,source,currency <-> source,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.6637957096099854,0.0,,payment:currency,False,0.047619047619047616,mixed,mixed,True,False,0.9826950430870056,0.0,0.5620572924613954,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000070,True,True,,False,False,FP,|payment:currency
embed_only_baseline,//source,reqd_exctn_dt,reqd exctn dt,source,reqd exctn dt <-> source,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.6503565907478333,0.0,,,False,0.16666666666666666,mixed,mixed,True,False,0.9979017376899719,0.0,0.5597229838371277,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000075,True,True,,False,False,FP,|
embed_only_baseline,//source,exp,exp,source,exp <-> source,INAmex.json,PPVisa.json,Payments Risk,Payments Risk,0.6829004287719727,0.0,,,False,0.0625,mixed,mixed,True,False,0.9912697076797485,0.0,0.5714141130447388,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000090,True,True,,False,False,FP,|
embed_only_baseline,//source,created,created,source,created <-> source,INAmex.json,Stripe.json,Payments Risk,Payments Risk,0.6502659916877747,0.0,,,False,1.0,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.995682418346405,0.0,0.45924288034439087,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000107,True,True,,False,False,FP,|
embed_only_baseline,//source,payer_account,payer account,source,payer account <-> source,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.6594550013542175,0.0,,payment:account,False,1.0,mixed,"^[0-9]{6,19}$",False,False,0.9970704913139343,0.0,0.46319609880447393,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000108,True,True,,False,False,FP,|payment:account
embed_only_baseline,schema_id,entity,entity,schema identifier,entity <-> schema identifier,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8419399261474609,0.0,identifier,,False,1.0,mixed,mixed,True,False,0.9999040365219116,0.0,0.6367567777633667,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000112,True,True,,False,False,FP,identifier|
embed_only_baseline,schema_id,version,schema identifier,version,schema identifier <-> version,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.7864188551902771,0.0,identifier,,False,1.0,mixed,mixed,True,False,0.9947166442871094,0.0,0.6135108709335327,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000113,True,True,,False,False,FP,identifier|
embed_only_baseline,schema_id,name,name,schema identifier,name <-> schema identifier,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.838200569152832,0.0,identifier,party:name,False,0.25,mixed,mixed,True,False,0.980599582195282,0.0,0.6314001441001893,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000114,True,True,,False,False,FP,identifier|party:name
embed_only_baseline,schema_id,type,schema identifier,type,schema identifier <-> type,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8350872993469238,0.0,identifier,payment:account_type,False,0.25,mixed,mixed,True,False,0.9981144070625305,0.0,0.6336578011512757,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000115,True,True,,False,False,FP,identifier|payment:account_type
embed_only_baseline,schema_id,aliases,aliases,schema identifier,aliases <-> schema identifier,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.7852458953857422,0.0,identifier,,False,0.16666666666666666,mixed,mixed,True,False,0.8454415798187256,0.0,0.583186674118042,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000116,True,True,,False,False,FP,identifier|
