fn_id,source_field,target_field,semantic_score,context_signature,model_reason,human_decision (ACCEPT/REJECT/HOLD),human_comments,record_type,DecisionType,CanonicalNode,Track,EvidenceScore,EmbeddingSimilarity,NameSimilarity,HardVetoes,PromotionRule,AuditFlags,ExpectedSchemaTruth(bool)
TP_0034,Mastercard.transaction_amount,Razorpay.amount,0.7627822127620683,,"cmnf_canonical_safe:score=0.7628,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.7627822127620683,0.6079491793201951,0.5,,cmnf_canonical_safe_promotion,,True
TP_0035,Mastercard.transaction_amount,Stripe.amount,0.8042930897381332,,"cmnf_canonical_safe:score=0.8043,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.8042930897381332,0.7265516849660949,0.5,,cmnf_canonical_safe_promotion,,True
TP_0036,Mastercard.transaction_amount,Stripe.amount,0.8042930897381332,,"cmnf_canonical_safe:score=0.8043,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.8042930897381332,0.7265516849660949,0.5,,cmnf_canonical_safe_promotion,,True
TP_0037,Mastercard.transaction_amount,UPI.txn_amount,0.8762633244081879,,"cmnf_canonical_safe:score=0.8763,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.8762633244081879,0.6464666411662512,1.0,,cmnf_canonical_safe_promotion,,True
TP_0038,Mastercard.transaction_amount,UPI.txn_amount,0.8762633244081879,,"cmnf_canonical_safe:score=0.8763,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.8762633244081879,0.6464666411662512,1.0,,cmnf_canonical_safe_promotion,,True
TP_0039,Plaid.currency,Razorpay.currency,0.8064012179212176,,"same_canon_same_family:score=0.8064,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,discovery,0.8064012179212176,0.589717765489193,1.0,,same_canonical_same_family_promotion,,True
TP_0040,Plaid.currency,Razorpay.currency,0.8064012179212176,,"same_canon_same_family:score=0.8064,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,production,0.8064012179212176,0.589717765489193,1.0,,same_canonical_same_family_promotion,,True
TP_0041,Plaid.currency,Stripe.currency,0.8399333304841616,,"same_canon_same_family:score=0.8399,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,discovery,0.8399333304841616,0.685523801383319,1.0,,same_canonical_same_family_promotion,,True
TP_0042,Plaid.currency,Stripe.currency,0.8399333304841616,,"same_canon_same_family:score=0.8399,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,production,0.8399333304841616,0.685523801383319,1.0,,same_canonical_same_family_promotion,,True
TP_0043,Plaid.currency,UPI.currency,0.8006284850234883,,"same_canon_same_family:score=0.8006,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,discovery,0.8006284850234883,0.5732242429242522,1.0,,same_canonical_same_family_promotion,,True
TP_0044,Plaid.currency,UPI.currency,0.8006284850234883,,"same_canon_same_family:score=0.8006,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,production,0.8006284850234883,0.5732242429242522,1.0,,same_canonical_same_family_promotion,,True
TP_0045,Plaid.transaction_amount,Razorpay.amount,0.7520578916429523,,"cmnf_canonical_safe:score=0.7521,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.7520578916429523,0.5773082618370066,0.5,,cmnf_canonical_safe_promotion,,True
TP_0046,Plaid.transaction_amount,Razorpay.amount,0.7520578916429523,,"cmnf_canonical_safe:score=0.7521,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.7520578916429523,0.5773082618370066,0.5,,cmnf_canonical_safe_promotion,,True
