record_type,candidate_generation_mode,num_attributes,num_pairs_evaluated,num_candidates_considered,embedding_ms,index_build_ms,query_ms,nf_validation_ms,total_pipeline_ms,hnsw_M,hnsw_ef_search,top_k,speedup_vs_bruteforce_query,note,dbnf_mode,entity,canonical_name,semantic_family,model_v1,model_v2,embedding_dim,drift_distance,tau_dbnf,drift_detected,fork_required,drift_source,ground_truth_label,classification,delta_context
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::payment_currency,payment_currency,payment:currency,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06759629270556233,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::payment_identifier,payment_identifier,identifier:razorpay_payment,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.07211054282574214,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::payment_intent_identifier,payment_intent_identifier,identifier:payment_intent,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06601730105828219,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::payment_method,payment_method,payment:method,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.07822725475866565,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::payment_status,payment_status,payment:status,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.05988230047244869,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::processing_code,processing_code,iso8583:processing_code,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06332229160781888,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::requested_execution_date,requested_execution_date,temporal:requested_execution_date,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06257054240398519,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::routing_number,routing_number,payment_account:routing_number,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.07209429939059286,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::system_trace_audit_number,system_trace_audit_number,identifier:stan,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.075092780726011,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::transaction_date,transaction_date,temporal:transaction_date,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06882615376553369,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::transaction_identifier,transaction_identifier,identifier:transaction,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06912842408239661,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::transaction_timestamp,transaction_timestamp,temporal:transaction_timestamp,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.08639490698465035,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::transmission_datetime,transmission_datetime,temporal:transmission_datetime,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.07008709152463688,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::virtual_payment_address,virtual_payment_address,upi:vpa,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06765705948940626,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
